url,headline
https://www.nbcnews.com/select/shopping/amazfit-vs-garmin-review-rcna340969,"Amazfit vs. Garmin: Can a $100 fitness tracker compete with an $1,100 one?"
https://www.nbcnews.com/select/shopping/amazfit-review-budget-fitness-tracker-brand-nbc-select-rcna332347,Are Amazfit fitness trackers any good?
https://www.nbcnews.com/sports/nba,NBA
https://www.nbcnews.com/news/us-news/2-young-people-arrested-alleged-plot-attack-houston-synagogue-rcna341784,2 young people arrested in alleged plot to attack Houston synagogue
https://www.nbcnews.com/science/space/artemis-ii-mission-nasa-moon-base-rcna341058,Artemis II mission is giving NASA clues about how to design a moon base
https://www.nbcnews.com/sports/sports/trying-find-common-ground-look-sports-athletes-inspire-rcna341083,Trying to find common ground? Look to sports and the athletes who inspire
https://www.nbcnews.com/world/lebanon/meet-refugees-lebanon-rcna341692,Meet the refugees of Lebanon
https://www.nbcnews.com/pop-culture/pop-culture-news/ticketmaster-harry-styles-scalped-tickets-fans-rcna341702,Ticketmaster canceled Harry Styles scalped tickets. Here's what fans need to know.
https://www.nbcnews.com/politics/politics-news/trumps-poll-numbers-now-compare-compare-2018-politics-desk-rcna341656,How Trump's poll numbers now compare compare to 2018: From the Politics Desk
https://www.nbcnews.com/pop-culture/pop-culture-news/reese-witherspoon-sandra-bullock-hollywood-artificial-intelligence-rcna341114,"Reese Witherspoon, Sandra Bullock and Hollywood's cautious embrace of AI"
https://www.nbcnews.com/tech/tech-news/meta-layoffs-ai-memo-rcna341683,Meta says it will lay off 10% of its workforce
https://www.nbcnews.com/sports/nfl/live-blog/nfl-draft-2026-live-updates-rcna267546,NFL draft 2026 live updates: Fernando Mendoza goes to Raiders at 1; Rams take Ty Simpson at 13
https://www.nbcnews.com/news/us-news/falcons-defender-james-pearce-domestic-violence-rcna341670,Falcons defender James Pearce reaches a deal to avoid jail over domestic violence charges
https://www.nbcnews.com/news/us-news/wildfires-rage-georgia-northern-florida-severe-drought-rcna341631,Wildfires rage across Georgia and northern Florida amid severe drought
https://www.nbcnews.com/politics/justice-department/justice-department-settles-carter-page-lawsuit-trump-russia-probe-rcna341640,Justice Department settles lawsuit brought by Trump-Russia probe subject Carter Page
https://www.nbcnews.com/politics/justice-department/justice-department-watchdog-probes-compliance-epstein-act-rcna341655,Justice Department watchdog probes compliance with Epstein Act
https://www.nbcnews.com/news/us-news/destructive-jumping-worm-invading-colorado-western-states-officials-wa-rcna341653,"A destructive 'jumping worm' is invading Colorado and Western states, officials warn"
https://www.nbcnews.com/politics/justice-department/trump-administration-moves-ease-restrictions-medical-marijuana-rcna341584,Trump administration moves to ease restrictions on medical marijuana
https://www.nbcnews.com/politics/white-house,White House
https://www.nbcnews.com/politics/white-house/fbi-will-look-connections-deaths-disappearances-scientists-rcna332397,FBI will look for connections to deaths and disappearances of scientists
https://www.nbcnews.com/science/space/video-artemis-ii-astronaut-earthset-moon-nasa-rcna341000,See video of Earthset that an Artemis II astronaut filmed while circling the moon
https://www.nbcnews.com/news/us-news/dna-confirms-remains-found-car-river-are-oregon-family-missing-1958-rcna332427,DNA confirms remains found in car in a river are of Oregon family missing since 1958
https://www.today.com/video/artemis-ii-re-entry-to-earth-see-the-step-by-step-process-261102661796,See Augmented Reality Visualization of Artemis II Re-entry to Earth
https://www.nbcnews.com/video/videos-show-chimpanzees-growing-increasingly-hostile-after-social-split-261032005972,Videos show chimpanzees growing increasingly hostile after social split
https://www.nbcnews.com/video/artemis-ii-astronauts-describe-their-journey-as-they-rocket-toward-the-moon-260649541986,Artemis II astronauts describe their journey as they rocket toward the moon
https://www.nbcnews.com/video/last-man-on-the-moon-reflects-on-his-experience-and-the-artemis-ii-mission-260484165939,Last man on the moon reflects on his experience and the Artemis II mission
https://www.nbcnews.com/heat,Heat
https://www.nbcnews.com/storms,Storms
